Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,P,F,M,P_score,F_score,M_score,PFM_score,Segment (EN),Segment_Group
673,59,Male,Socks,Clothing,53,Washington,M,Peach,Winter,3.3,Yes,2-Day Shipping,Yes,Yes,29,Cash,quarterly,29,2,53,3,2,3,323,Potential Loyal,Potential & Promising
674,35,Male,Shirt,Clothing,66,Oklahoma,M,Indigo,Spring,4.2,Yes,Free Shipping,Yes,Yes,27,Venmo,bi-weekly,27,1,66,3,3,3,333,Potential Loyal,Potential & Promising
675,48,Male,Jewelry,Accessories,33,Washington,XL,Beige,Winter,4.7,Yes,Store Pickup,Yes,Yes,36,Bank Transfer,annually,36,3,33,2,1,1,211,Dormant Shoppers,Hibernating & Lost
676,64,Male,Sunglasses,Accessories,86,Arkansas,M,Yellow,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,9,Cash,annually,9,3,86,5,1,5,515,Active Regulars,Potential & Promising
677,28,Male,Pants,Clothing,60,Connecticut,M,Peach,Winter,2.9,Yes,2-Day Shipping,Yes,Yes,38,Venmo,bi-weekly,38,1,60,2,3,3,233,Dormant Shoppers,Hibernating & Lost
678,60,Male,Socks,Clothing,62,Washington,S,Turquoise,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,annually,41,3,62,1,1,3,113,High-Value At Risk,High Risk & Need Attention
679,27,Male,Blouse,Clothing,74,Maine,M,Teal,Fall,3.3,Yes,Store Pickup,Yes,Yes,25,Debit Card,every 3 months,25,2,74,3,2,4,324,Needs Engagement,High Risk & Need Attention
680,56,Male,Sandals,Footwear,95,Michigan,M,Turquoise,Fall,3.4,Yes,Express,Yes,Yes,37,Venmo,fortnightly,37,1,95,2,3,5,235,At Risk (Strong),Hibernating & Lost
681,58,Male,Sneakers,Footwear,25,Tennessee,M,Magenta,Spring,4.2,Yes,Express,Yes,Yes,3,PayPal,annually,3,3,25,5,1,1,511,New Shoppers,Potential & Promising
682,30,Male,Shirt,Clothing,59,Louisiana,XL,Purple,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,24,Credit Card,every 3 months,24,2,59,3,2,3,323,Potential Loyal,Potential & Promising
683,23,Male,Jacket,Outerwear,29,Missouri,M,Brown,Summer,4,Yes,Standard,Yes,Yes,49,Credit Card,bi-weekly,49,1,29,1,3,1,131,Lost Shoppers,Hibernating & Lost
684,33,Male,Sandals,Footwear,36,Michigan,S,Violet,Winter,2.7,Yes,Free Shipping,Yes,Yes,3,Bank Transfer,monthly,3,2,36,5,2,2,522,Active Regulars,Potential & Promising
685,63,Male,Hat,Accessories,82,Alabama,M,Yellow,Summer,4.7,Yes,Express,Yes,Yes,42,Debit Card,monthly,42,2,82,1,2,4,124,At Risk (Strong),Hibernating & Lost
686,70,Male,Blouse,Clothing,71,Massachusetts,XL,Magenta,Winter,3.5,Yes,Standard,Yes,Yes,32,Cash,fortnightly,32,1,71,2,3,4,234,At Risk (Strong),Hibernating & Lost
687,70,Male,Sweater,Clothing,35,Indiana,L,Beige,Fall,3,Yes,2-Day Shipping,Yes,Yes,33,Venmo,fortnightly,33,1,35,2,3,1,231,At Risk,Hibernating & Lost
688,19,Male,Gloves,Accessories,38,West Virginia,XL,Turquoise,Winter,3.3,Yes,Free Shipping,Yes,Yes,46,Bank Transfer,quarterly,46,2,38,1,2,2,122,Dormant Shoppers,Hibernating & Lost
689,25,Male,Scarf,Accessories,59,Michigan,S,Peach,Summer,4.7,Yes,Store Pickup,Yes,Yes,44,Venmo,monthly,44,2,59,1,2,3,123,Dormant Shoppers,Hibernating & Lost
690,19,Male,Hoodie,Clothing,91,Pennsylvania,M,Orange,Summer,4.7,Yes,Express,Yes,Yes,35,Credit Card,every 3 months,35,2,91,2,2,5,225,At Risk (Strong),Hibernating & Lost
691,25,Male,Shorts,Clothing,68,Alaska,XL,Red,Spring,4.8,Yes,Standard,Yes,Yes,45,Bank Transfer,weekly,45,1,68,1,3,3,133,At Risk (Strong),Hibernating & Lost
692,60,Male,Backpack,Accessories,21,Massachusetts,L,Silver,Summer,2.9,Yes,Standard,Yes,Yes,37,PayPal,bi-weekly,37,1,21,2,3,1,231,At Risk,Hibernating & Lost
693,35,Male,Sunglasses,Accessories,95,North Dakota,M,Cyan,Spring,4,Yes,2-Day Shipping,Yes,Yes,40,Debit Card,every 3 months,40,2,95,2,2,5,225,At Risk (Strong),Hibernating & Lost
694,46,Male,Shorts,Clothing,52,Vermont,L,Turquoise,Spring,3.1,Yes,Free Shipping,Yes,Yes,30,Cash,every 3 months,30,2,52,3,2,3,323,Potential Loyal,Potential & Promising
695,41,Male,Dress,Clothing,21,Kentucky,S,Charcoal,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,38,Venmo,every 3 months,38,2,21,2,2,1,221,At Risk,Hibernating & Lost
696,30,Male,Shorts,Clothing,67,Nevada,XL,Peach,Summer,3.7,Yes,Next Day Air,Yes,Yes,15,Debit Card,every 3 months,15,2,67,4,2,3,423,Potential Loyal,Potential & Promising
697,44,Male,Belt,Accessories,42,Utah,L,Green,Fall,2.8,Yes,Standard,Yes,Yes,49,Cash,monthly,49,2,42,1,2,2,122,Dormant Shoppers,Hibernating & Lost
698,61,Male,Scarf,Accessories,63,North Dakota,XL,Brown,Summer,4.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,quarterly,40,2,63,2,2,3,223,Dormant Shoppers,Hibernating & Lost
699,55,Male,Boots,Footwear,41,Iowa,M,Yellow,Winter,3.8,Yes,Standard,Yes,Yes,40,Debit Card,weekly,40,1,41,2,3,2,232,Dormant Shoppers,Hibernating & Lost
700,50,Male,Handbag,Accessories,46,Connecticut,M,Charcoal,Fall,2.6,Yes,2-Day Shipping,Yes,Yes,5,PayPal,weekly,5,1,46,5,3,2,532,Potential Loyal,Potential & Promising
701,57,Male,Pants,Clothing,79,Wisconsin,L,Olive,Winter,4.1,Yes,Standard,Yes,Yes,5,PayPal,monthly,5,2,79,5,2,4,524,Active Regulars,Potential & Promising
702,51,Male,Boots,Footwear,90,Idaho,L,Red,Fall,3.3,Yes,Next Day Air,Yes,Yes,5,Debit Card,every 3 months,5,2,90,5,2,5,525,Active Regulars,Potential & Promising
703,18,Male,Shirt,Clothing,71,Montana,M,White,Winter,3.4,Yes,Store Pickup,Yes,Yes,1,Cash,weekly,1,1,71,5,3,4,534,Needs Engagement,High Risk & Need Attention
704,63,Male,Dress,Clothing,87,Connecticut,L,Pink,Summer,3,Yes,Standard,Yes,Yes,21,Venmo,weekly,21,1,87,3,3,5,335,Loyal Buyers,Champions & Loyal
705,34,Male,Hoodie,Clothing,66,Idaho,S,Black,Spring,3.2,Yes,Express,Yes,Yes,18,PayPal,annually,18,3,66,4,1,3,413,Active Regulars,Potential & Promising
706,25,Male,Pants,Clothing,90,Arkansas,XL,Indigo,Summer,4.5,Yes,Free Shipping,Yes,Yes,49,Cash,quarterly,49,2,90,1,2,5,125,At Risk (Strong),Hibernating & Lost
707,46,Male,Jeans,Clothing,47,Iowa,L,Turquoise,Summer,4.8,Yes,Express,Yes,Yes,27,Debit Card,weekly,27,1,47,3,3,2,332,Dormant Shoppers,Hibernating & Lost
708,59,Male,Shirt,Clothing,38,Louisiana,L,Purple,Spring,3.7,Yes,Next Day Air,Yes,Yes,21,Venmo,annually,21,3,38,3,1,2,312,At Risk,Hibernating & Lost
709,37,Male,Backpack,Accessories,50,Kentucky,L,Beige,Summer,3.4,Yes,Store Pickup,Yes,Yes,19,Cash,fortnightly,19,1,50,4,3,2,432,Potential Loyal,Potential & Promising
710,49,Male,Jacket,Outerwear,79,Massachusetts,L,Charcoal,Summer,4.6,Yes,Standard,Yes,Yes,23,Debit Card,monthly,23,2,79,3,2,4,324,Needs Engagement,High Risk & Need Attention
711,22,Male,Scarf,Accessories,91,Virginia,L,Turquoise,Spring,4.1,Yes,Standard,Yes,Yes,26,PayPal,fortnightly,26,1,91,3,3,5,335,Loyal Buyers,Champions & Loyal
712,64,Male,Boots,Footwear,60,New Hampshire,M,Maroon,Spring,3.5,Yes,2-Day Shipping,Yes,Yes,13,Bank Transfer,bi-weekly,13,1,60,4,3,3,433,Potential Loyal,Potential & Promising
713,42,Male,Blouse,Clothing,81,New Hampshire,XL,Black,Summer,3.8,Yes,Next Day Air,Yes,Yes,36,Bank Transfer,quarterly,36,2,81,2,2,4,224,At Risk (Strong),Hibernating & Lost
714,37,Male,Hoodie,Clothing,90,Oregon,M,Lavender,Summer,2.6,Yes,Express,Yes,Yes,39,Bank Transfer,bi-weekly,39,1,90,2,3,5,235,At Risk (Strong),Hibernating & Lost
715,26,Male,Jacket,Outerwear,70,South Dakota,M,Magenta,Fall,4.4,Yes,Store Pickup,Yes,Yes,40,Debit Card,fortnightly,40,1,70,2,3,4,234,At Risk (Strong),Hibernating & Lost
716,33,Male,Jeans,Clothing,63,Delaware,L,Green,Spring,2.6,Yes,Express,Yes,Yes,37,Debit Card,quarterly,37,2,63,2,2,3,223,Dormant Shoppers,Hibernating & Lost
717,30,Male,Jewelry,Accessories,29,Missouri,M,Olive,Spring,3.6,Yes,Express,Yes,Yes,9,Venmo,bi-weekly,9,1,29,5,3,1,531,Potential Loyal,Potential & Promising
718,21,Male,Socks,Clothing,90,Alaska,L,Green,Spring,4.2,Yes,Express,Yes,Yes,7,Venmo,every 3 months,7,2,90,5,2,5,525,Active Regulars,Potential & Promising
719,22,Male,Shirt,Clothing,22,Florida,M,Peach,Summer,4.6,Yes,Standard,Yes,Yes,25,Bank Transfer,annually,25,3,22,3,1,1,311,New Shoppers,Potential & Promising
720,63,Male,Shorts,Clothing,22,Mississippi,L,Turquoise,Summer,3.3,Yes,Next Day Air,Yes,Yes,42,Venmo,bi-weekly,42,1,22,1,3,1,131,Lost Shoppers,Hibernating & Lost
721,33,Male,Jewelry,Accessories,62,New Mexico,L,Orange,Fall,3.4,Yes,Free Shipping,Yes,Yes,19,Debit Card,weekly,19,1,62,4,3,3,433,Potential Loyal,Potential & Promising
722,43,Male,Blouse,Clothing,57,California,L,Silver,Summer,4.4,Yes,Next Day Air,Yes,Yes,41,Debit Card,every 3 months,41,2,57,1,2,3,123,Dormant Shoppers,Hibernating & Lost
723,27,Male,Sweater,Clothing,32,Wyoming,S,Blue,Summer,4.3,Yes,Store Pickup,Yes,Yes,50,Cash,bi-weekly,50,1,32,1,3,1,131,Lost Shoppers,Hibernating & Lost
724,35,Male,Jewelry,Accessories,53,Missouri,L,Cyan,Fall,3.5,Yes,Express,Yes,Yes,43,PayPal,monthly,43,2,53,1,2,3,123,Dormant Shoppers,Hibernating & Lost
725,37,Male,T-shirt,Clothing,79,New Hampshire,XL,Green,Fall,4.7,Yes,Store Pickup,Yes,Yes,36,Venmo,every 3 months,36,2,79,2,2,4,224,At Risk (Strong),Hibernating & Lost
726,61,Male,Hat,Accessories,61,Texas,L,Silver,Winter,3.1,Yes,Standard,Yes,Yes,33,Debit Card,fortnightly,33,1,61,2,3,3,233,Dormant Shoppers,Hibernating & Lost
727,32,Male,Shorts,Clothing,78,North Dakota,L,Yellow,Summer,3.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,every 3 months,20,2,78,4,2,4,424,Active Regulars,Potential & Promising
728,62,Male,Sweater,Clothing,97,Arkansas,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,37,Venmo,every 3 months,37,2,97,2,2,5,225,At Risk (Strong),Hibernating & Lost
729,29,Male,Jeans,Clothing,78,Nebraska,M,Pink,Winter,3.7,Yes,Next Day Air,Yes,Yes,12,PayPal,every 3 months,12,2,78,4,2,4,424,Active Regulars,Potential & Promising
730,41,Male,Sunglasses,Accessories,56,Minnesota,L,Beige,Summer,3.2,Yes,Express,Yes,Yes,46,PayPal,every 3 months,46,2,56,1,2,3,123,Dormant Shoppers,Hibernating & Lost
731,48,Male,Boots,Footwear,25,Massachusetts,M,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,28,Venmo,fortnightly,28,1,25,3,3,1,331,At Risk,Hibernating & Lost
732,43,Male,Coat,Outerwear,28,Arkansas,M,Red,Spring,3.5,Yes,Free Shipping,Yes,Yes,30,PayPal,fortnightly,30,1,28,3,3,1,331,At Risk,Hibernating & Lost
733,34,Male,Shirt,Clothing,57,New Hampshire,L,Blue,Spring,2.8,Yes,Express,Yes,Yes,28,Cash,bi-weekly,28,1,57,3,3,3,333,Potential Loyal,Potential & Promising
734,45,Male,Dress,Clothing,36,Rhode Island,L,Cyan,Fall,2.7,Yes,2-Day Shipping,Yes,Yes,20,Debit Card,bi-weekly,20,1,36,4,3,2,432,Potential Loyal,Potential & Promising
735,65,Male,Shirt,Clothing,69,New Jersey,S,Violet,Winter,3.1,Yes,Express,Yes,Yes,39,Bank Transfer,every 3 months,39,2,69,2,2,4,224,At Risk (Strong),Hibernating & Lost
736,61,Male,Sunglasses,Accessories,48,Montana,M,Orange,Fall,3.6,Yes,2-Day Shipping,Yes,Yes,48,Cash,bi-weekly,48,1,48,1,3,2,132,Dormant Shoppers,Hibernating & Lost
737,18,Male,Dress,Clothing,58,Colorado,L,Maroon,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,32,Credit Card,every 3 months,32,2,58,2,2,3,223,Dormant Shoppers,Hibernating & Lost
738,47,Male,Sunglasses,Accessories,24,Nebraska,M,Teal,Spring,3.6,Yes,Store Pickup,Yes,Yes,28,PayPal,annually,28,3,24,3,1,1,311,New Shoppers,Potential & Promising
739,56,Male,Sunglasses,Accessories,31,Minnesota,L,Orange,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,27,Venmo,quarterly,27,2,31,3,2,1,321,At Risk,Hibernating & Lost
740,64,Male,Shorts,Clothing,29,Minnesota,S,Purple,Summer,3.5,Yes,Free Shipping,Yes,Yes,26,Venmo,bi-weekly,26,1,29,3,3,1,331,At Risk,Hibernating & Lost
741,26,Male,Jeans,Clothing,69,South Dakota,M,Orange,Summer,2.8,Yes,Next Day Air,Yes,Yes,22,Credit Card,fortnightly,22,1,69,3,3,4,334,Needs Engagement,High Risk & Need Attention
742,22,Male,T-shirt,Clothing,79,West Virginia,XL,Yellow,Summer,4.7,Yes,Free Shipping,Yes,Yes,23,Bank Transfer,every 3 months,23,2,79,3,2,4,324,Needs Engagement,High Risk & Need Attention
743,64,Male,Pants,Clothing,39,Nevada,M,Charcoal,Summer,3.1,Yes,Express,Yes,Yes,21,Debit Card,quarterly,21,2,39,3,2,2,322,Dormant Shoppers,Hibernating & Lost
744,21,Male,Sunglasses,Accessories,84,North Carolina,L,Gray,Fall,4.9,Yes,Free Shipping,Yes,Yes,36,Cash,weekly,36,1,84,2,3,4,234,At Risk (Strong),Hibernating & Lost
745,67,Male,Boots,Footwear,66,Illinois,S,Charcoal,Spring,4.1,Yes,Next Day Air,Yes,Yes,42,Debit Card,bi-weekly,42,1,66,1,3,3,133,At Risk (Strong),Hibernating & Lost
746,46,Male,T-shirt,Clothing,92,Michigan,L,Orange,Fall,4.7,Yes,Standard,Yes,Yes,4,Venmo,monthly,4,2,92,5,2,5,525,Active Regulars,Potential & Promising
747,40,Male,Sandals,Footwear,45,Michigan,M,Red,Winter,2.5,Yes,Free Shipping,Yes,Yes,47,Credit Card,annually,47,3,45,1,1,2,112,Lost Shoppers,Hibernating & Lost
748,51,Male,Shorts,Clothing,74,Oklahoma,L,Gold,Spring,4.4,Yes,Next Day Air,Yes,Yes,13,Bank Transfer,weekly,13,1,74,4,3,4,434,Needs Engagement,High Risk & Need Attention
749,35,Male,Hat,Accessories,39,South Dakota,L,Brown,Fall,3.9,Yes,Free Shipping,Yes,Yes,8,Bank Transfer,quarterly,8,2,39,5,2,2,522,Active Regulars,Potential & Promising
750,56,Male,Scarf,Accessories,71,Oklahoma,M,Olive,Winter,3.7,Yes,Standard,Yes,Yes,11,Debit Card,quarterly,11,2,71,4,2,4,424,Active Regulars,Potential & Promising
751,25,Male,T-shirt,Clothing,95,Maryland,L,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,5,Venmo,annually,5,3,95,5,1,5,515,Active Regulars,Potential & Promising
752,65,Male,Gloves,Accessories,72,Ohio,L,Indigo,Fall,4.8,Yes,Free Shipping,Yes,Yes,1,Credit Card,monthly,1,2,72,5,2,4,524,Active Regulars,Potential & Promising
753,39,Male,Scarf,Accessories,85,Ohio,L,Yellow,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,17,PayPal,every 3 months,17,2,85,4,2,5,425,Active Regulars,Potential & Promising
754,47,Male,Boots,Footwear,54,Massachusetts,M,Teal,Fall,3.4,Yes,Store Pickup,Yes,Yes,27,Venmo,quarterly,27,2,54,3,2,3,323,Potential Loyal,Potential & Promising
755,36,Male,Gloves,Accessories,41,North Carolina,L,Pink,Spring,2.9,Yes,Store Pickup,Yes,Yes,3,Debit Card,quarterly,3,2,41,5,2,2,522,Active Regulars,Potential & Promising
756,66,Male,Coat,Outerwear,24,Florida,M,Violet,Spring,3.3,Yes,Free Shipping,Yes,Yes,22,PayPal,weekly,22,1,24,3,3,1,331,At Risk,Hibernating & Lost
757,62,Male,Belt,Accessories,99,Montana,S,Orange,Summer,4.8,Yes,Standard,Yes,Yes,24,Cash,fortnightly,24,1,99,3,3,5,335,Loyal Buyers,Champions & Loyal
758,41,Male,Hoodie,Clothing,32,Minnesota,M,Red,Fall,3.8,Yes,Store Pickup,Yes,Yes,18,Debit Card,quarterly,18,2,32,4,2,1,421,New Shoppers,Potential & Promising
759,66,Male,Shoes,Footwear,71,Massachusetts,L,Peach,Summer,4.6,Yes,2-Day Shipping,Yes,Yes,39,Bank Transfer,every 3 months,39,2,71,2,2,4,224,At Risk (Strong),Hibernating & Lost
760,51,Male,Dress,Clothing,49,Rhode Island,XL,Green,Winter,2.6,Yes,Next Day Air,Yes,Yes,25,Credit Card,fortnightly,25,1,49,3,3,2,332,Dormant Shoppers,Hibernating & Lost
761,33,Male,Gloves,Accessories,50,Minnesota,XL,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,6,Cash,annually,6,3,50,5,1,2,512,New Shoppers,Potential & Promising
762,57,Male,Jewelry,Accessories,91,Nevada,L,Yellow,Fall,4.2,Yes,Express,Yes,Yes,26,Bank Transfer,weekly,26,1,91,3,3,5,335,Loyal Buyers,Champions & Loyal
763,45,Male,Belt,Accessories,46,New Mexico,M,Pink,Fall,3.9,Yes,Standard,Yes,Yes,43,Debit Card,fortnightly,43,1,46,1,3,2,132,Dormant Shoppers,Hibernating & Lost
764,61,Male,Sweater,Clothing,50,North Carolina,M,Brown,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,6,Credit Card,monthly,6,2,50,5,2,2,522,Active Regulars,Potential & Promising
765,55,Male,Skirt,Clothing,39,Virginia,XL,Silver,Fall,4.2,Yes,Free Shipping,Yes,Yes,6,Debit Card,quarterly,6,2,39,5,2,2,522,Active Regulars,Potential & Promising
766,54,Male,Sneakers,Footwear,99,Alaska,M,Pink,Summer,3,Yes,Store Pickup,Yes,Yes,13,Cash,quarterly,13,2,99,4,2,5,425,Active Regulars,Potential & Promising
767,57,Male,Gloves,Accessories,48,Nevada,M,Cyan,Winter,3.6,Yes,Next Day Air,Yes,Yes,13,PayPal,monthly,13,2,48,4,2,2,422,New Shoppers,Potential & Promising
768,27,Male,Coat,Outerwear,77,Pennsylvania,M,Brown,Fall,2.5,Yes,Next Day Air,Yes,Yes,11,Cash,annually,11,3,77,4,1,4,414,Active Regulars,Potential & Promising
769,64,Male,Backpack,Accessories,95,Illinois,XL,Red,Spring,2.6,Yes,Express,Yes,Yes,45,Venmo,weekly,45,1,95,1,3,5,135,At Risk (Strong),Hibernating & Lost
770,52,Male,Socks,Clothing,100,Delaware,M,Silver,Spring,4.3,Yes,Store Pickup,Yes,Yes,8,PayPal,monthly,8,2,100,5,2,5,525,Active Regulars,Potential & Promising
771,19,Male,Sneakers,Footwear,54,Vermont,M,Gray,Spring,3.3,Yes,Express,Yes,Yes,8,Credit Card,annually,8,3,54,5,1,3,513,Active Regulars,Potential & Promising
772,22,Male,Sweater,Clothing,68,Hawaii,L,Cyan,Fall,2.6,Yes,Next Day Air,Yes,Yes,34,Bank Transfer,fortnightly,34,1,68,2,3,3,233,Dormant Shoppers,Hibernating & Lost
773,18,Male,Jeans,Clothing,22,Illinois,L,Teal,Fall,3.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,bi-weekly,40,1,22,2,3,1,231,At Risk,Hibernating & Lost
774,29,Male,Hat,Accessories,84,California,L,Indigo,Winter,2.6,Yes,Express,Yes,Yes,14,Debit Card,bi-weekly,14,1,84,4,3,4,434,Needs Engagement,High Risk & Need Attention
775,42,Male,Hat,Accessories,46,Nevada,M,Yellow,Summer,3.5,Yes,Standard,Yes,Yes,11,Credit Card,quarterly,11,2,46,4,2,2,422,New Shoppers,Potential & Promising
776,49,Male,Handbag,Accessories,53,Kentucky,S,Gold,Winter,3,Yes,Store Pickup,Yes,Yes,8,PayPal,monthly,8,2,53,5,2,3,523,Active Regulars,Potential & Promising
777,49,Male,Shirt,Clothing,60,Alabama,M,Maroon,Spring,5,Yes,Standard,Yes,Yes,8,Venmo,every 3 months,8,2,60,5,2,3,523,Active Regulars,Potential & Promising
778,55,Male,Socks,Clothing,32,Wyoming,XL,Silver,Spring,2.5,Yes,Express,Yes,Yes,37,Venmo,weekly,37,1,32,2,3,1,231,At Risk,Hibernating & Lost
779,29,Male,Socks,Clothing,50,Massachusetts,M,Yellow,Summer,2.9,Yes,Store Pickup,Yes,Yes,23,Debit Card,annually,23,3,50,3,1,2,312,At Risk,Hibernating & Lost
780,60,Male,Dress,Clothing,94,Utah,M,Blue,Spring,4.6,Yes,Express,Yes,Yes,38,Cash,annually,38,3,94,2,1,5,215,High-Value At Risk,High Risk & Need Attention
781,34,Male,Shoes,Footwear,26,New York,M,Turquoise,Spring,3.6,Yes,Free Shipping,Yes,Yes,38,Cash,quarterly,38,2,26,2,2,1,221,At Risk,Hibernating & Lost
782,30,Male,Scarf,Accessories,44,Vermont,L,Indigo,Winter,3,Yes,Store Pickup,Yes,Yes,12,Credit Card,fortnightly,12,1,44,4,3,2,432,Potential Loyal,Potential & Promising
783,28,Male,Hoodie,Clothing,57,Hawaii,M,Green,Summer,4.5,Yes,Standard,Yes,Yes,15,Cash,weekly,15,1,57,4,3,3,433,Potential Loyal,Potential & Promising
784,63,Male,T-shirt,Clothing,65,Louisiana,L,Purple,Winter,4.5,Yes,Next Day Air,Yes,Yes,38,PayPal,fortnightly,38,1,65,2,3,3,233,Dormant Shoppers,Hibernating & Lost
785,31,Male,Jeans,Clothing,72,Alabama,M,Peach,Winter,3.2,Yes,Store Pickup,Yes,Yes,41,Bank Transfer,every 3 months,41,2,72,1,2,4,124,At Risk (Strong),Hibernating & Lost
786,46,Male,Shorts,Clothing,62,Louisiana,S,Purple,Spring,4,Yes,Next Day Air,Yes,Yes,37,PayPal,fortnightly,37,1,62,2,3,3,233,Dormant Shoppers,Hibernating & Lost
787,70,Male,Hat,Accessories,21,Indiana,S,Teal,Winter,4.8,Yes,Express,Yes,Yes,16,Bank Transfer,every 3 months,16,2,21,4,2,1,421,New Shoppers,Potential & Promising
788,53,Male,Handbag,Accessories,85,Michigan,S,Green,Spring,3.7,Yes,Free Shipping,Yes,Yes,25,Venmo,weekly,25,1,85,3,3,5,335,Loyal Buyers,Champions & Loyal
789,50,Male,Pants,Clothing,51,Rhode Island,XL,Yellow,Summer,3.8,Yes,Store Pickup,Yes,Yes,18,Bank Transfer,quarterly,18,2,51,4,2,2,422,New Shoppers,Potential & Promising
790,33,Male,Handbag,Accessories,84,Idaho,S,Purple,Fall,2.7,Yes,Standard,Yes,Yes,4,Credit Card,bi-weekly,4,1,84,5,3,4,534,Needs Engagement,High Risk & Need Attention
791,22,Male,Sweater,Clothing,37,Louisiana,M,Indigo,Summer,4.9,Yes,Store Pickup,Yes,Yes,12,Bank Transfer,quarterly,12,2,37,4,2,2,422,New Shoppers,Potential & Promising
792,50,Male,Scarf,Accessories,44,North Carolina,S,Magenta,Summer,3.1,Yes,2-Day Shipping,Yes,Yes,35,PayPal,fortnightly,35,1,44,2,3,2,232,Dormant Shoppers,Hibernating & Lost
793,34,Male,Sneakers,Footwear,45,New Jersey,M,Violet,Spring,4.2,Yes,Next Day Air,Yes,Yes,45,Venmo,weekly,45,1,45,1,3,2,132,Dormant Shoppers,Hibernating & Lost
794,24,Male,Pants,Clothing,35,Alabama,L,Maroon,Summer,3.8,Yes,Free Shipping,Yes,Yes,16,Credit Card,monthly,16,2,35,4,2,1,421,New Shoppers,Potential & Promising
795,69,Male,Backpack,Accessories,50,Kentucky,XL,Yellow,Winter,4.2,Yes,Store Pickup,Yes,Yes,10,Debit Card,fortnightly,10,1,50,5,3,2,532,Potential Loyal,Potential & Promising
796,39,Male,Sandals,Footwear,26,New York,M,Beige,Summer,4.6,Yes,Store Pickup,Yes,Yes,34,Venmo,annually,34,3,26,2,1,1,211,Dormant Shoppers,Hibernating & Lost
797,42,Male,Socks,Clothing,78,Arizona,XL,Black,Fall,4,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,annually,43,3,78,1,1,4,114,High-Value At Risk,High Risk & Need Attention
798,42,Male,Coat,Outerwear,82,Maryland,M,Violet,Fall,4,Yes,2-Day Shipping,Yes,Yes,38,Debit Card,weekly,38,1,82,2,3,4,234,At Risk (Strong),Hibernating & Lost
799,29,Male,Socks,Clothing,39,Alaska,M,Violet,Spring,3.8,Yes,2-Day Shipping,Yes,Yes,48,PayPal,every 3 months,48,2,39,1,2,2,122,Dormant Shoppers,Hibernating & Lost
800,55,Male,Belt,Accessories,55,Nevada,L,Brown,Summer,3.3,Yes,Free Shipping,Yes,Yes,31,PayPal,annually,31,3,55,2,1,3,213,At Risk,Hibernating & Lost
801,32,Male,Socks,Clothing,20,Utah,S,Gold,Summer,2.6,Yes,Free Shipping,Yes,Yes,20,Cash,every 3 months,20,2,20,4,2,1,421,New Shoppers,Potential & Promising
802,25,Male,Belt,Accessories,29,New Mexico,L,Blue,Fall,4.9,Yes,Express,Yes,Yes,12,Credit Card,fortnightly,12,1,29,4,3,1,431,Potential Loyal,Potential & Promising
803,38,Male,Pants,Clothing,41,Delaware,M,Teal,Winter,3.5,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,weekly,2,1,41,5,3,2,532,Potential Loyal,Potential & Promising
804,32,Male,Shorts,Clothing,38,Connecticut,L,Silver,Winter,2.8,Yes,Express,Yes,Yes,30,Venmo,every 3 months,30,2,38,3,2,2,322,Dormant Shoppers,Hibernating & Lost
805,43,Male,Boots,Footwear,47,Mississippi,M,Maroon,Summer,2.6,Yes,Store Pickup,Yes,Yes,28,Venmo,quarterly,28,2,47,3,2,2,322,Dormant Shoppers,Hibernating & Lost
806,41,Male,Dress,Clothing,30,Connecticut,L,White,Summer,3.7,Yes,Next Day Air,Yes,Yes,40,Debit Card,monthly,40,2,30,2,2,1,221,At Risk,Hibernating & Lost
807,56,Male,Jeans,Clothing,56,Florida,L,Charcoal,Summer,2.7,Yes,Standard,Yes,Yes,46,PayPal,quarterly,46,2,56,1,2,3,123,Dormant Shoppers,Hibernating & Lost
808,27,Male,T-shirt,Clothing,89,New York,S,Brown,Winter,3.3,Yes,Express,Yes,Yes,15,Credit Card,weekly,15,1,89,4,3,5,435,Loyal Buyers,Champions & Loyal
809,46,Male,Shoes,Footwear,96,Wisconsin,L,Lavender,Fall,4.6,Yes,Next Day Air,Yes,Yes,38,Cash,every 3 months,38,2,96,2,2,5,225,At Risk (Strong),Hibernating & Lost
